"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"买入","ADBE","Adobe","227.68","20","4,553.60","已撤单","0@0.00","2026/04/09 14:04:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","70.30","40","2,812.00","已撤单","0@0.00","2026/04/09 10:16:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","ADBE","Adobe","228.28","15","3,424.20","全部成交","15@228.28","2026/04/09 09:36:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.05","","","","","","","","2.04"
"买入","ADBE","Adobe","230.10","5","1,150.50","全部成交","5@230.10","2026/04/09 09:35:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.02","","","","","","","","2.01"
"买入","ADBE","Adobe","231.50","5","1,157.50","已撤单","0@0.00","2026/04/09 09:33:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","70.08","30","2,102.40","全部成交","30@70.08","2026/04/09 03:35:27 (美东)","限价单","撤单前有效","","全时段","","","美股","USD","","0.99","1","0.09","","","","","0.05","0.01","","2.14"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","70.28","30","2,108.40","全部成交","30@70.28","2026/04/09 00:40:19 (美东)","限价单","撤单前有效","","全时段","","","美股","USD","","0.99","1","0.09","","","","","0.05","0.01","","2.14"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","71.10","150","10,665.00","已撤单","0@0.00","2026/04/08 11:31:08 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","IQ","爱奇艺","1.42","1,000","1,420.00","已撤单","0@0.00","2026/04/08 09:31:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","67.80","60","4,068.00","全部成交","60@67.80","2026/04/08 08:03:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.18","","","","","","","","2.17"
"买入","SQQQ","三倍做空纳指ETF-ProShares","68.25","40","2,730.00","全部成交","40@68.25","2026/04/08 01:52:21 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.12","","","","","","","","2.11"
"买入","SQQQ","三倍做空纳指ETF-ProShares","68.58","40","2,743.20","全部成交","40@68.58","2026/04/08 01:06:38 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.12","","","","","","","","2.11"
"买入","SQQQ","三倍做空纳指ETF-ProShares","69.01","20","1,380.20","已撤单","0@0.00","2026/04/07 22:02:55 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","69.08","20","1,381.60","全部成交","20@69.08","2026/04/07 21:09:04 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
