"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","证监会规费","交易活动费","综合审计跟踪监管费","合计费用"
"买入","00981","中芯国际","44.40","2,000","88,800.00","已撤单","0@0.00","2025/04/10 11:28:05 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖空","00981","中芯国际","46.70","1,000","46,700.00","已撤单","0@0.00","2025/04/10 10:03:33 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","PDD","拼多多","97.95","25","2,448.75","全部成交","25@98.00","2025/04/09 21:57:12 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖空","00981","中芯国际","46.30","1,000","46,300.00","全部成交","1,000@46.30","2025/04/10 09:54:01 (香港)","限价单","当日有效","允许","","","","港股","HKD","","13.89","15","2","47","2.62","1.25","0.07","","","","81.83"
"卖空","00981","中芯国际","45.90","500","22,950.00","全部成交","500@45.90","2025/04/10 09:50:38 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.89","15","2","23","1.3","0.62","0.03","","","","48.84"
"卖空","00981","中芯国际","45.60","500","22,800.00","全部成交","500@45.60","2025/04/10 09:49:40 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.84","15","2","23","1.29","0.62","0.03","","","","48.78"
"卖空","00981","中芯国际","45.30","500","22,650.00","全部成交","500@45.30","2025/04/10 09:31:17 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.8","15","2","23","1.28","0.61","0.03","","","","48.72"
"卖出","PDD","拼多多","97.60","25","2,440.00","全部成交","25@97.60","2025/04/09 19:31:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"买入","PDD","拼多多","88.50","30","2,655.00","全部成交","30@88.50","2025/04/09 10:57:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","","2.08"
"买入","PDD","拼多多","89.50","20","1,790.00","全部成交","20@89.50","2025/04/09 10:41:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"买入","PDD","拼多多","89.70","20","1,794.00","已撤单","0@0.00","2025/04/09 10:40:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AVGO","博通","166.30","25","4,157.50","已撤单","0@0.00","2025/04/09 09:44:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AVGO","博通","166.30","25","4,157.50","已撤单","0@0.00","2025/04/09 09:44:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","TLT","20+年以上美国国债ETF-iShares","86.60","25","2,165.00","全部成交","25@86.60","2025/04/09 09:14:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.06","0.01","","2.14"
"卖空","00981","中芯国际","43.20","500","21,600.00","全部成交","500@43.20","2025/04/09 13:51:23 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.48","15","2","22","1.22","0.58","0.03","","","","47.31"
"卖空","00981","中芯国际","42.75","500","21,375.00","全部成交","500@42.75","2025/04/09 13:43:09 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.41","15","2","22","1.21","0.58","0.03","","","","47.23"
"卖空","00981","中芯国际","42.65","500","21,325.00","已撤单","0@0.00","2025/04/09 13:40:33 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖空","00981","中芯国际","42.60","500","21,300.00","已撤单","0@0.00","2025/04/09 13:38:35 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","TLT","20+年以上美国国债ETF-iShares","86.08","150","12,912.00","全部成交","150@86.08","2025/04/09 01:20:21 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.46","","","","","0.36","0.06","","2.87"
"卖出","TLT","20+年以上美国国债ETF-iShares","85.95","325","27,933.75","全部成交","325@85.95","2025/04/09 01:16:49 (美东)","限价单","当日有效","","全时段","","","美股","USD","","1.59","1.63","0.98","","","","","0.78","0.05","","5.03"
"卖出","TLT","20+年以上美国国债ETF-iShares","85.90","125","10,737.50","已撤单","0@0.00","2025/04/09 01:11:57 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"卖出","TLT","20+年以上美国国债ETF-iShares","85.98","500","42,990.00","已撤单","0@0.00","2025/04/09 01:08:57 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","TLT","20+年以上美国国债ETF-iShares","84.80","50","4,240.00","全部成交","50@84.80","2025/04/09 00:06:42 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"卖出","XYZ","Block","47.55","50","2,377.50","全部成交","50@47.5906","2025/04/09 00:04:10 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","0.09","0.04","","2.27"
"买入","TLT","20+年以上美国国债ETF-iShares","85.02","35","2,975.70","全部成交","35@85.02","2025/04/08 23:58:51 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.11","","","","","","","","2.1"
"买入","TLT","20+年以上美国国债ETF-iShares","85.10","40","3,404.00","下单失败","0@0.00","2025/04/08 23:57:49 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","TLT","20+年以上美国国债ETF-iShares","85.55","40","3,422.00","已撤单","0@0.00","2025/04/08 23:44:13 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","TLT","20+年以上美国国债ETF-iShares","85.88","440","37,787.20","全部成交","440@85.88","2025/04/08 23:19:52 (美东)","限价单","当日有效","","全时段","","","美股","USD","","2.16","2.2","1.32","","","","","","","","5.68"
"卖空","00981","中芯国际","44.00","500","22,000.00","已撤单","0@0.00","2025/04/09 10:18:04 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖空","00981","中芯国际","43.50","500","21,750.00","全部成交","500@43.50","2025/04/09 10:02:46 (香港)","限价单","当日有效","允许","","","","港股","HKD","","6.53","15","2","22","1.23","0.59","0.03","","","","47.38"
"买入","TLT","20+年以上美国国债ETF-iShares","86.48","470","40,645.60","已撤单","0@0.00","2025/04/08 21:47:55 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","47.00","50","2,350.00","已撤单","0@0.00","2025/04/08 21:39:16 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","TLT","20+年以上美国国债ETF-iShares","87.76","500","43,880.00","已撤单","0@0.00","2025/04/08 18:01:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","PDD","拼多多","91.60","360","32,976.00","已撤单","0@0.00","2025/04/08 17:48:38 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","TLT","20+年以上美国国债ETF-iShares","87.76","500","43,880.00","已撤单","0@0.00","2025/04/08 17:20:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.54","14,000","21,560.00","已撤单","0@0.00","2025/04/08 13:19:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AMD","美国超微公司","81.70","100","8,170.00","已撤单","0@0.00","2025/04/08 13:13:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GOOG","谷歌-C","148.80","120","17,856.00","已撤单","0@0.00","2025/04/08 13:12:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","49.80","50","2,490.00","全部成交","50@49.80","2025/04/08 13:11:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","IQ","爱奇艺","1.55","15,000","23,250.00","已撤单","0@0.00","2025/04/08 13:07:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","GOOG","谷歌-C","149.60","240","35,904.00","已撤单","0@0.00","2025/04/08 13:05:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.54","15,000","23,100.00","已撤单","0@0.00","2025/04/08 12:55:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.56","15,000","23,400.00","已撤单","0@0.00","2025/04/08 12:37:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AVGO","博通","162.20","221","35,846.20","全部成交","221@162.20","2025/04/08 10:23:53 (美东)","限价单","撤单前有效","","盘前+盘中+盘后","","","美股","USD","","1.08","1.11","0.66","","","","","","","","2.85"
"买入","AVGO","博通","162.00","200","32,400.00","已撤单","0@0.00","2025/04/08 09:25:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","AVGO","博通","162.01","171","27,703.71","已撤单","0@0.00","2025/04/08 08:54:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AVGO","博通","163.40","21","3,431.40","全部成交","21@163.40","2025/04/08 07:44:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","0.1","0.01","","2.16"
"卖出","NVDA","英伟达","101.38","25","2,534.50","全部成交","25@101.38","2025/04/08 07:43:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖出","NVDA","英伟达","101.40","25","2,535.00","已撤单","0@0.00","2025/04/08 07:38:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","101.40","25","2,535.00","下单失败","0@0.00","2025/04/08 07:37:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖空","AVGO","博通","162.50","200","32,500.00","全部成交","200@162.50","2025/04/08 07:35:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.6","","","","","0.9","0.03","","3.52"
"卖出","NVDA","英伟达","100.20","25","2,505.00","全部成交","25@100.20","2025/04/08 06:50:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖出","NVDA","英伟达","100.55","25","2,513.75","已撤单","0@0.00","2025/04/08 03:30:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","00700","腾讯控股","428.60","700","300,020.00","已撤单","0@0.00","2025/04/08 13:49:29 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00700","腾讯控股","430.40","700","301,280.00","已撤单","0@0.00","2025/04/08 13:47:33 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","00700","腾讯控股","435.00","100","43,500.00","已撤单","0@0.00","2025/04/08 13:25:25 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","98.00","50","4,900.00","全部成交","50@98.00","2025/04/07 10:55:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.14","0.01","","2.29"
"卖出","NVDA","英伟达","89.00","80","7,120.00","全部成交","80@89.01","2025/04/07 04:30:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.24","","","","","0.2","0.01","","2.44"
"买入","XYZ","Block","46.00","50","2,300.00","已撤单","0@0.00","2025/04/07 04:04:25 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","88.00","100","8,800.00","已撤单","0@0.00","2025/04/07 04:01:52 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","46.01","290","13,342.90","已撤单","0@0.00","2025/04/07 04:01:02 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","46.01","280","12,882.80","已撤单","0@0.00","2025/04/07 03:40:20 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"卖出","XYZ","Block","46.27","50","2,313.50","全部成交","50@46.274","2025/04/07 02:56:58 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","0.07","0.02","","2.23"
"买入","NVDA","英伟达","83.70","20","1,674.00","已撤单","0@0.00","2025/04/07 02:50:20 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","85.01","30","2,550.30","全部成交","30@85.01","2025/04/07 02:30:58 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","NVDA","英伟达","85.60","50","4,280.00","全部成交","50@85.60","2025/04/07 02:14:18 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","XYZ","Block","46.11","50","2,305.50","全部成交","50@46.11","2025/04/07 01:53:35 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","XYZ","Block","46.25","100","4,625.00","已撤单","0@0.00","2025/04/07 01:51:35 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","86.01","25","2,150.25","全部成交","25@86.01","2025/04/07 01:37:42 (美东)","限价单","当日有效","","全时段","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","XYZ","Block","46.30","50","2,315.00","已撤单","0@0.00","2025/04/07 01:11:28 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","","","","","","","","","","",""
"卖出","01519","极兔速递-W","4.78","10,000","47,800.00","全部成交","10,000@4.78","2025/04/07 13:06:53 (香港)","限价单","当日有效","允许","","","","港股","HKD","","14.34","15","2","48","2.7","1.29","0.07","","","","83.4"
"买入","XYZ","Block","46.30","50","2,315.00","已撤单","0@0.00","2025/04/07 00:50:16 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","87.05","25","2,176.25","全部成交","25@87.05","2025/04/07 00:09:59 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","01519","极兔速递-W","4.68","1,000","4,680.00","已撤单","0@0.00","2025/04/07 11:30:32 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","NVDA","英伟达","87.60","25","2,190.00","全部成交","25@87.60","2025/04/06 23:26:25 (美东)","限价单","当日有效","","夜盘","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","NVDA","英伟达","87.60","25","2,190.00","已撤单","0@0.00","2025/04/06 23:26:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","01519","极兔速递-W","4.73","2,000","9,460.00","已撤单","0@0.00","2025/04/07 11:13:13 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","01519","极兔速递-W","4.77","4,000","19,080.00","已撤单","0@0.00","2025/04/07 10:11:36 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","",""
"买入","01519","极兔速递-W","4.83","4,000","19,320.00","全部成交","4,000@4.83","2025/04/07 09:49:49 (香港)","限价单","当日有效","允许","","","","港股","HKD","","5.8","15","2","20","1.09","0.52","0.03","","","","44.44"
"卖出","NVDA","英伟达","92.61","50","4,630.50","全部成交","50@92.61","2025/04/04 19:57:51 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.13","0.01","","2.28"
"买入","NVDA","英伟达","92.80","25","2,320.00","已撤单","0@0.00","2025/04/04 12:35:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","IQ","爱奇艺","1.80","6,950","12,510.00","下单失败","0@0.00","2025/04/04 12:30:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","65.00","25","1,625.00","已撤单","0@0.00","2025/04/04 12:22:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","65.50","25","1,637.50","已撤单","0@0.00","2025/04/04 12:21:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","93.70","25","2,342.50","全部成交","25@93.70","2025/04/04 11:38:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","NVDA","英伟达","94.40","25","2,360.00","全部成交","25@94.375","2025/04/04 11:31:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"卖出","NVDA","英伟达","96.00","25","2,400.00","全部成交","25@96.00","2025/04/04 11:13:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"卖出","NVDA","英伟达","95.20","100","9,520.00","全部成交","100@95.20","2025/04/04 11:11:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.26","0.02","","2.57"
"卖出","MU","美光科技","66.40","50","3,320.00","全部成交","50@66.40","2025/04/04 11:10:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.09","0.01","","2.24"
"卖出","NVDA","英伟达","94.50","100","9,450.00","已撤单","0@0.00","2025/04/04 10:59:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","94.50","100","9,450.00","已撤单","0@0.00","2025/04/04 10:59:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","64.00","50","3,200.00","已撤单","0@0.00","2025/04/04 10:51:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","92.60","20","1,852.00","全部成交","20@92.575","2025/04/04 10:50:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.06","","","","","","","","2.05"
"卖出","XYZ","Block","47.94","150","7,191.00","全部成交","150@47.94","2025/04/04 10:50:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.45","","","","","0.2","0.02","","2.66"
"买入","NVDA","英伟达","93.30","30","2,799.00","全部成交","30@93.30","2025/04/04 10:48:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.09","","","","","","","","2.08"
"买入","NVDA","英伟达","94.70","25","2,367.50","全部成交","25@94.70","2025/04/04 10:28:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","MU","美光科技","65.00","25","1,625.00","已撤单","0@0.00","2025/04/04 10:27:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","49.30","50","2,465.00","全部成交","50@49.30","2025/04/04 10:26:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","XYZ","Block","49.50","50","2,475.00","全部成交","50@49.50","2025/04/04 10:18:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","NVDA","英伟达","95.00","25","2,375.00","已撤单","0@0.00","2025/04/04 10:12:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","65.80","25","1,645.00","全部成交","25@65.80","2025/04/04 10:11:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","NVDA","英伟达","95.60","25","2,390.00","全部成交","25@95.60","2025/04/04 10:11:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","NVDA","英伟达","95.70","25","2,392.50","已撤单","0@0.00","2025/04/04 10:10:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","66.20","25","1,655.00","全部成交","25@66.20","2025/04/04 10:09:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","MU","美光科技","66.60","50","3,330.00","已撤单","0@0.00","2025/04/04 10:08:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","XYZ","Block","50.30","50","2,515.00","全部成交","50@50.30","2025/04/04 09:47:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.07","0.01","","2.22"
"卖出","XYZ","Block","50.00","100","5,000.00","全部成交","100@50.00","2025/04/04 09:44:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.14","0.02","","2.45"
"买入","NVDA","英伟达","96.20","25","2,405.00","全部成交","25@96.20","2025/04/04 09:41:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","","","","2.07"
"买入","XYZ","Block","48.65","50","2,432.50","全部成交","50@48.65","2025/04/04 08:38:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","XYZ","Block","48.70","100","4,870.00","已撤单","0@0.00","2025/04/04 08:37:57 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","49.25","50","2,462.50","全部成交","50@49.25","2025/04/04 08:36:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","XYZ","Block","49.26","50","2,463.00","已撤单","0@0.00","2025/04/04 08:33:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","49.20","100","4,920.00","已撤单","0@0.00","2025/04/04 08:32:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","49.20","50","2,460.00","已撤单","0@0.00","2025/04/04 08:31:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","NVDA","英伟达","98.20","25","2,455.00","全部成交","25@98.2006","2025/04/04 08:15:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.08","","","","","0.07","0.01","","2.15"
"买入","XYZ","Block","49.40","100","4,940.00","全部成交","100@49.40","2025/04/04 07:59:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","","","","2.29"
"卖出","NVDA","英伟达","97.50","50","4,875.00","全部成交","50@97.5903","2025/04/04 07:58:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","0.14","0.01","","2.29"
"卖出","NVDA","英伟达","96.70","100","9,670.00","全部成交","100@96.70","2025/04/04 07:51:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.3","","","","","0.27","0.02","","2.58"
"卖出","NVDA","英伟达","97.00","100","9,700.00","已撤单","0@0.00","2025/04/04 07:38:41 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","48.00","97","4,656.00","已撤单","0@0.00","2025/04/04 07:37:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","48.00","98","4,704.00","下单失败","0@0.00","2025/04/04 07:36:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","95.50","50","4,775.00","全部成交","50@95.50","2025/04/04 07:30:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","NVDA","英伟达","96.01","50","4,800.50","全部成交","50@96.01","2025/04/04 07:28:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","NVDA","英伟达","96.80","50","4,840.00","全部成交","50@96.80","2025/04/04 07:13:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","NVDA","英伟达","97.40","50","4,870.00","全部成交","50@97.40","2025/04/04 07:09:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0.15","","","","","","","","2.14"
"买入","NVDA","英伟达","97.60","50","4,880.00","已撤单","0@0.00","2025/04/04 07:07:32 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","NVDA","英伟达","97.60","250","24,400.00","已撤单","0@0.00","2025/04/04 07:02:38 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","SBUX","星巴克","83.30","1","83.30","全部成交","1@83.30","2025/04/04 07:00:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","0.99","1","0","","","","","","","","1.99"
"买入","GOOG","谷歌-C","146.20","50","7,310.00","已撤单","0@0.00","2025/04/04 06:57:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","MU","美光科技","68.70","100","6,870.00","已撤单","0@0.00","2025/04/04 06:52:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","50.70","100","5,070.00","已撤单","0@0.00","2025/04/04 06:36:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","51.00","100","5,100.00","已撤单","0@0.00","2025/04/04 06:35:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"买入","XYZ","Block","51.00","408","20,808.00","已撤单","0@0.00","2025/04/04 06:28:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","",""
"卖出","MU","美光科技","70.50","338","23,829.00","全部成交","338@70.50","2025/04/04 06:23:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","1.66","1.69","1.01","","","","","0.68","0.09","","5.13"
