"交易类型","代码","名称","金额","余额","币种","创建时间"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-14,618.28","USD","2026/09/21 23:27:58"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,767.50","-14,616.14","USD","2026/09/21 23:27:53"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-12,848.64","USD","2026/09/21 22:37:15"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,775.00","-12,846.50","USD","2026/09/21 22:37:10"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-11,071.50","USD","2026/09/21 22:17:09"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,790.00","-11,069.36","USD","2026/09/21 22:16:57"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-9,279.36","USD","2026/09/21 21:39:31"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,825.00","-9,277.22","USD","2026/09/21 21:37:37"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-7,452.22","USD","2026/09/18 15:11:12"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,890.00","-7,450.08","USD","2026/09/18 15:11:12"
"股票卖出费用","IQ","爱奇艺","-6.56","-5,560.08","USD","2026/09/17 22:53:17"
"股票卖出成交","IQ","爱奇艺","+575.00","-5,553.52","USD","2026/09/17 22:53:17"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.29","-6,128.52","USD","2026/09/17 22:17:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-3,868.00","-6,126.23","USD","2026/09/17 22:17:06"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-2,258.23","USD","2026/09/17 17:01:56"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,965.00","-2,256.09","USD","2026/09/17 17:01:56"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-291.09","USD","2026/09/16 22:59:53"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,980.00","-288.95","USD","2026/09/16 22:59:53"
"股票卖出费用","IQ","爱奇艺","-13.12","1,691.05","USD","2026/09/15 00:57:31"
"股票卖出成交","IQ","爱奇艺","+1,020.00","1,704.17","USD","2026/09/15 00:57:31"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.21","684.17","USD","2026/09/04 06:00:10"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+1,882.58","686.38","USD","2026/09/04 06:00:00"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+38.42","-1,196.20","USD","2026/09/04 05:18:06"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-1,234.62","USD","2026/09/03 23:28:01"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,919.00","-1,232.48","USD","2026/09/03 23:27:49"
"股票买入费用","IQ","爱奇艺","-6.06","686.52","USD","2026/09/02 19:21:50"
"股票买入成交","IQ","爱奇艺","-455.50","692.58","USD","2026/09/02 19:21:38"
"融资/欠款利息","--","--","-0.56","1,148.08","USD","2026/09/02 02:00:35"
"股票买入费用","IQ","爱奇艺","-6.40","1,148.64","USD","2026/08/27 21:49:57"
"股票买入成交","IQ","爱奇艺","-490.00","1,155.04","USD","2026/08/27 21:49:44"
"股票买入费用","IQ","爱奇艺","-6.45","1,645.04","USD","2026/08/20 23:59:31"
"股票买入成交","IQ","爱奇艺","-525.00","1,651.49","USD","2026/08/20 23:59:20"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","2,176.49","USD","2026/08/05 11:13:24"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,116.60","2,178.57","USD","2026/08/05 11:13:15"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","3,295.17","USD","2026/08/04 22:38:35"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-771.60","3,297.22","USD","2026/08/04 22:38:20"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","4,068.82","USD","2026/08/04 21:50:20"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-780.40","4,070.87","USD","2026/08/04 21:50:05"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","4,851.27","USD","2026/08/04 21:38:21"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","4,853.29","USD","2026/08/04 21:36:51"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-392.50","4,855.31","USD","2026/08/04 21:36:04"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-393.80","5,247.81","USD","2026/08/04 21:34:57"
"银行转存","--","--","+8,192.30","5,641.61","USD","2026/08/04 08:51:08"
"融资/欠款利息","--","--","-6.16","-2,550.69","USD","2026/08/04 04:06:37"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.02","-2,544.53","USD","2026/08/03 09:32:18"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-427.80","-2,542.51","USD","2026/08/03 09:30:39"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","-2,114.71","USD","2026/07/10 01:19:17"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,140.00","-2,112.63","USD","2026/07/10 01:19:04"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.08","-972.63","USD","2026/07/10 01:07:00"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,145.40","-970.55","USD","2026/07/10 01:06:48"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","174.85","USD","2026/07/10 01:01:00"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-765.60","176.90","USD","2026/07/10 01:00:50"
"融资/欠款利息","--","--","-23.78","942.50","USD","2026/07/02 07:28:54"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","-17.22","966.28","USD","2026/07/01 23:14:51"
"现金股息","SQQQ","三倍做空纳指ETF-ProShares","+172.16","983.50","USD","2026/07/01 23:13:59"
"银行转存","--","--","+6,992.30","811.34","USD","2026/06/30 10:48:07"
"融资/欠款利息","--","--","-27.40","-6,180.96","USD","2026/06/02 05:53:25"
"银行转存","--","--","+2,500.00","-6,153.56","USD","2026/05/07 09:36:09"
"融资/欠款利息","--","--","-19.55","-8,653.56","USD","2026/05/02 02:26:50"
"股票卖出费用","ADBE","Adobe","-2.05","-8,634.01","USD","2026/04/16 01:29:26"
"股票卖出成交","ADBE","Adobe","+1,227.00","-8,631.96","USD","2026/04/15 23:56:02"
"基金赎回","880006","易方达(香港)美元货币市场基金","+507.39","-9,858.96","USD","2026/04/15 06:18:56"
"股票卖出费用","IQ","爱奇艺","-13.13","-10,366.35","USD","2026/04/15 01:22:35"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-10,353.22","USD","2026/04/15 01:16:24"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-10,351.17","USD","2026/04/15 01:01:01"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-10,349.10","USD","2026/04/15 00:43:44"
"股票卖出成交","IQ","爱奇艺","+1,420.00","-10,347.03","USD","2026/04/15 00:02:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,256.60","-11,767.03","USD","2026/04/14 23:54:53"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,579.00","-10,510.43","USD","2026/04/14 23:38:58"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","+18.98","-8,931.43","USD","2026/04/14 23:37:30"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-8,950.41","USD","2026/04/14 23:28:43"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,586.50","-8,948.34","USD","2026/04/14 23:20:53"
"股息税","SQQQ","三倍做空纳指ETF-ProShares","+25.66","-7,361.84","USD","2026/04/14 23:17:30"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-7,387.50","USD","2026/04/14 23:17:06"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,591.50","-7,385.43","USD","2026/04/14 22:21:55"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,594.50","-5,793.93","USD","2026/04/14 22:14:38"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-4,199.43","USD","2026/04/14 21:39:35"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,607.50","-4,197.36","USD","2026/04/14 21:31:54"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-2,589.86","USD","2026/04/14 17:29:03"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.04","-2,587.79","USD","2026/04/14 17:22:09"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,614.50","-2,585.75","USD","2026/04/14 17:01:36"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-971.25","-971.25","USD","2026/04/14 16:30:18"
"基金赎回","880006","易方达(香港)美元货币市场基金","+1,801.76","-0.00","USD","2026/04/14 06:23:51"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.07","-1,801.76","USD","2026/04/14 03:59:22"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-589.50","-1,799.69","USD","2026/04/14 03:59:12"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,048.00","-1,210.19","USD","2026/04/14 03:59:12"
"股票卖出费用","ADBE","Adobe","-2.04","-162.19","USD","2026/04/14 00:11:18"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-160.15","USD","2026/04/13 23:43:08"
"股票卖出成交","ADBE","Adobe","+1,171.00","-158.10","USD","2026/04/13 23:31:14"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,342.00","-1,329.10","USD","2026/04/13 22:58:37"
"基金申购","880006","易方达(香港)美元货币市场基金","-2,309.10","12.90","USD","2026/04/13 08:37:11"
"股票卖出费用","ADBE","Adobe","-2.08","2,322.00","USD","2026/04/10 23:00:16"
"股票买入费用","ADBE","Adobe","-2.02","2,324.08","USD","2026/04/10 22:21:32"
"股票卖出成交","ADBE","Adobe","+2,270.00","2,326.10","USD","2026/04/10 22:18:03"
"股票买入成交","ADBE","Adobe","-2,254.00","56.10","USD","2026/04/10 21:51:00"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.37","2,310.10","USD","2026/04/10 05:58:08"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+5,443.20","2,312.47","USD","2026/04/10 05:57:58"
"股票卖出费用","ADBE","Adobe","-2.33","-3,130.73","USD","2026/04/10 05:53:03"
"股票卖出成交","ADBE","Adobe","+2,298.80","-3,128.40","USD","2026/04/10 05:52:53"
"股票卖出成交","ADBE","Adobe","+6,896.40","-5,427.20","USD","2026/04/10 05:52:52"
"股票买入费用","ADBE","Adobe","-2.05","-12,323.60","USD","2026/04/10 02:23:24"
"股票买入成交","ADBE","Adobe","-4,555.60","-12,321.55","USD","2026/04/10 02:23:15"
"股票买入费用","ADBE","Adobe","-2.04","-7,765.95","USD","2026/04/10 02:01:50"
"股票买入成交","ADBE","Adobe","-3,424.20","-7,763.91","USD","2026/04/10 02:01:42"
"股票买入费用","ADBE","Adobe","-2.01","-4,339.71","USD","2026/04/09 21:35:39"
"股票买入成交","ADBE","Adobe","-1,150.50","-4,337.70","USD","2026/04/09 21:35:27"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-3,187.20","USD","2026/04/09 16:11:01"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+2,108.40","-3,185.06","USD","2026/04/09 16:09:32"
"ETFs卖出费用","SQQQ","三倍做空纳指ETF-ProShares","-2.14","-5,293.46","USD","2026/04/09 15:41:53"
"ETFs卖出成交","SQQQ","三倍做空纳指ETF-ProShares","+2,102.40","-5,291.32","USD","2026/04/09 15:41:43"
"基金赎回","880006","易方达(香港)美元货币市场基金","+4,925.56","-7,393.72","USD","2026/04/09 06:18:22"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.17","-12,319.28","USD","2026/04/08 20:04:32"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-4,068.00","-12,317.11","USD","2026/04/08 20:04:23"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.11","-8,249.11","USD","2026/04/08 14:00:34"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-2,730.00","-8,247.00","USD","2026/04/08 14:00:23"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.11","-5,517.00","USD","2026/04/08 13:28:50"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-2,743.20","-5,514.89","USD","2026/04/08 13:28:37"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-2,771.69","USD","2026/04/08 09:57:40"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,381.60","-2,769.64","USD","2026/04/08 09:52:55"
"ETFs买入费用","SQQQ","三倍做空纳指ETF-ProShares","-2.05","-1,388.04","USD","2026/04/08 08:49:40"
"ETFs买入成交","SQQQ","三倍做空纳指ETF-ProShares","-1,386.00","-1,385.99","USD","2026/04/08 08:49:30"
"基金申购","880006","易方达(香港)美元货币市场基金","-2,403.27","0.01","USD","2026/04/07 08:36:31"
"基金申购","880006","易方达(香港)美元货币市场基金","-0.12","2,403.28","USD","2026/04/03 08:37:26"
"股息税","NVDA","英伟达","-0.02","2,403.40","USD","2026/04/02 17:43:56"
"现金股息","NVDA","英伟达","+0.15","2,403.42","USD","2026/04/02 17:34:29"
"股票卖出费用","ADBE","Adobe","-2.03","2,403.27","USD","2026/04/02 09:34:28"
"股票卖出成交","ADBE","Adobe","+2,405.30","2,405.30","USD","2026/04/02 09:31:38"
"基金赎回","880006","易方达(香港)美元货币市场基金","+3,001.04","-0.00","USD","2026/04/02 06:20:36"
"融资/欠款利息","--","--","-9.64","-3,001.04","USD","2026/04/02 05:00:24"
"股票买入费用","ADBE","Adobe","-2.02","-2,991.40","USD","2026/04/01 21:49:30"
"股票买入成交","ADBE","Adobe","-2,352.00","-2,989.38","USD","2026/04/01 21:49:18"
"股票买入费用","ADBE","Adobe","-2.02","-637.38","USD","2026/04/01 21:47:51"
"股票买入成交","ADBE","Adobe","-2,367.00","-635.36","USD","2026/04/01 21:47:40"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.01","1,731.64","USD","2026/04/01 07:55:35"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+1,724.00","1,733.65","USD","2026/04/01 07:55:25"
"基金申购","880006","易方达(香港)美元货币市场基金","-5,519.08","9.65","USD","2026/03/27 08:37:28"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.02","5,528.73","USD","2026/03/25 09:49:38"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+2,955.40","5,530.75","USD","2026/03/25 09:49:08"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.03","2,575.35","USD","2026/03/25 09:11:44"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+4,201.80","2,577.38","USD","2026/03/25 09:08:59"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.08","-1,624.42","USD","2026/03/25 07:50:07"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+10,450.00","-1,622.34","USD","2026/03/25 07:50:00"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.02","-12,072.34","USD","2026/03/23 15:19:18"
"ETFs买入成交","GLD","黄金ETF-SPDR","-3,780.00","-12,070.32","USD","2026/03/23 15:19:10"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-8,290.32","USD","2026/03/23 15:08:20"
"ETFs买入成交","GLD","黄金ETF-SPDR","-1,906.00","-8,288.31","USD","2026/03/23 15:08:11"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-6,382.31","USD","2026/03/23 14:44:05"
"ETFs买入成交","GLD","黄金ETF-SPDR","-1,156.50","-6,380.30","USD","2026/03/23 14:43:53"
"ETFs买入成交","GLD","黄金ETF-SPDR","-771.00","-5,223.80","USD","2026/03/23 14:43:53"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-4,452.80","USD","2026/03/23 14:33:04"
"ETFs买入成交","GLD","黄金ETF-SPDR","-1,942.00","-4,450.79","USD","2026/03/23 14:32:52"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-2,508.79","USD","2026/03/23 14:30:24"
"ETFs买入成交","GLD","黄金ETF-SPDR","-1,947.85","-2,506.78","USD","2026/03/23 14:30:09"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-558.93","USD","2026/03/20 22:15:31"
"ETFs买入成交","GLD","黄金ETF-SPDR","-2,104.00","-556.92","USD","2026/03/20 22:15:20"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.05","1,547.08","USD","2026/03/20 16:24:38"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+6,520.50","1,549.13","USD","2026/03/20 16:21:38"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.05","-4,971.37","USD","2026/03/20 16:19:03"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+7,803.00","-4,969.32","USD","2026/03/20 16:16:19"
"基金赎回","880006","易方达(香港)美元货币市场基金","+5,753.11","-12,772.32","USD","2026/03/20 06:18:50"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-18,525.43","USD","2026/03/19 20:14:13"
"ETFs买入成交","GLD","黄金ETF-SPDR","-3,392.00","-18,523.42","USD","2026/03/19 20:14:02"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.02","-15,131.42","USD","2026/03/19 20:00:38"
"ETFs买入成交","GLD","黄金ETF-SPDR","-4,272.00","-15,129.40","USD","2026/03/19 20:00:27"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.02","-10,857.40","USD","2026/03/19 16:42:34"
"ETFs买入成交","GLD","黄金ETF-SPDR","-4,310.00","-10,855.38","USD","2026/03/19 16:42:23"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-6,545.38","USD","2026/03/19 16:13:27"
"ETFs买入成交","GLD","黄金ETF-SPDR","-2,164.00","-6,543.37","USD","2026/03/19 16:11:32"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-4,379.37","USD","2026/03/19 14:50:58"
"ETFs买入成交","GLD","黄金ETF-SPDR","-2,184.00","-4,377.36","USD","2026/03/19 14:50:44"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-2,193.36","USD","2026/03/19 14:46:17"
"ETFs买入成交","GLD","黄金ETF-SPDR","-2,194.00","-2,191.35","USD","2026/03/19 14:46:05"
"基金申购","880006","易方达(香港)美元货币市场基金","-5,752.68","2.65","USD","2026/03/18 08:37:01"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.05","5,755.33","USD","2026/03/16 22:08:54"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+6,939.00","5,757.38","USD","2026/03/16 22:08:41"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.08","-1,181.62","USD","2026/03/16 21:16:30"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+12,474.00","-1,179.54","USD","2026/03/16 21:16:18"
"股票卖出费用","TDOC","Teladoc Health","-2.18","-13,653.54","USD","2026/03/16 17:06:25"
"股票卖出成交","TDOC","Teladoc Health","+226.38","-13,651.36","USD","2026/03/16 17:06:14"
"股票卖出成交","TDOC","Teladoc Health","+5.40","-13,877.74","USD","2026/03/16 17:06:14"
"股票卖出成交","TDOC","Teladoc Health","+5.40","-13,883.14","USD","2026/03/16 17:06:14"
"股票卖出成交","TDOC","Teladoc Health","+32.40","-13,888.54","USD","2026/03/16 17:06:13"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.01","-13,920.94","USD","2026/03/16 16:44:09"
"ETFs买入成交","GLD","黄金ETF-SPDR","-3,206.00","-13,918.93","USD","2026/03/16 16:43:57"
"股票卖出费用","NVDA","英伟达","-2.05","-10,712.93","USD","2026/03/16 09:16:01"
"股票卖出成交","NVDA","英伟达","+2,725.50","-10,710.88","USD","2026/03/16 09:15:52"
"基金赎回","880006","易方达(香港)美元货币市场基金","+4,997.18","-13,436.38","USD","2026/03/14 08:10:30"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.11","-18,433.56","USD","2026/03/14 07:53:46"
"ETFs买入成交","GLD","黄金ETF-SPDR","-18,431.45","-18,431.45","USD","2026/03/14 07:53:38"
"基金赎回","880006","易方达(香港)美元货币市场基金","+655.59","-0.00","USD","2026/03/13 06:16:26"
"股票买入费用","IQ","爱奇艺","-6.45","-655.59","USD","2026/03/12 22:53:24"
"股票买入成交","IQ","爱奇艺","-650.00","-649.14","USD","2026/03/12 22:53:14"
"基金申购","880006","易方达(香港)美元货币市场基金","-1,848.97","0.86","USD","2026/03/12 08:36:51"
"基金申购","880006","易方达(香港)美元货币市场基金","-3,803.07","1,849.83","USD","2026/03/11 08:36:50"
"股票卖出费用","NVDA","英伟达","-2.03","5,652.90","USD","2026/03/10 22:48:14"
"股票卖出成交","NVDA","英伟达","+1,851.00","5,654.93","USD","2026/03/10 22:48:03"
"股票卖出费用","NVDA","英伟达","-2.08","3,803.93","USD","2026/03/10 04:04:57"
"股票卖出成交","NVDA","英伟达","+4,560.00","3,806.01","USD","2026/03/10 04:04:47"
"股票卖出费用","NVDA","英伟达","-2.09","-753.99","USD","2026/03/10 00:36:48"
"股票卖出成交","NVDA","英伟达","+5,424.00","-751.90","USD","2026/03/10 00:36:39"
"股票卖出费用","NVDA","英伟达","-2.09","-6,175.90","USD","2026/03/09 23:53:17"
"股票卖出成交","NVDA","英伟达","+5,394.00","-6,173.81","USD","2026/03/09 23:53:05"
"股票买入费用","NVDA","英伟达","-2.02","-11,567.81","USD","2026/03/09 10:09:56"
"股票买入成交","NVDA","英伟达","-1,730.00","-11,565.79","USD","2026/03/09 10:07:16"
"股票买入费用","NVDA","英伟达","-2.05","-9,835.79","USD","2026/03/09 08:14:15"
"股票买入成交","NVDA","英伟达","-3,490.00","-9,833.74","USD","2026/03/09 08:14:07"
"基金赎回","880006","易方达(香港)美元货币市场基金","+2,533.37","-6,343.74","USD","2026/03/07 06:18:13"
"股票买入费用","NVDA","英伟达","-2.05","-8,877.11","USD","2026/03/07 04:37:22"
"股票买入成交","NVDA","英伟达","-3,538.00","-8,875.06","USD","2026/03/07 04:37:11"
"股票买入费用","NVDA","英伟达","-2.02","-5,337.06","USD","2026/03/07 04:28:20"
"股票买入成交","NVDA","英伟达","-1,770.00","-5,335.04","USD","2026/03/07 04:28:11"
"股票买入费用","NVDA","英伟达","-2.02","-3,565.04","USD","2026/03/07 04:25:57"
"股票买入成交","NVDA","英伟达","-1,777.00","-3,563.02","USD","2026/03/07 04:25:44"
"股票买入费用","NVDA","英伟达","-2.02","-1,786.02","USD","2026/03/07 04:13:34"
"股票买入成交","NVDA","英伟达","-1,784.00","-1,784.00","USD","2026/03/07 04:13:24"
"基金赎回","880006","易方达(香港)美元货币市场基金","+299.22","-0.00","USD","2026/03/06 06:14:56"
"股票买入费用","IQ","爱奇艺","-6.45","-299.22","USD","2026/03/06 01:33:57"
"股票买入成交","IQ","爱奇艺","-725.00","-292.77","USD","2026/03/06 01:33:46"
"股票买入费用","IQ","爱奇艺","-2.59","432.23","USD","2026/03/05 00:29:44"
"股票买入成交","IQ","爱奇艺","-292.00","434.82","USD","2026/03/05 00:29:34"
"股票买入费用","IQ","爱奇艺","-5.16","726.82","USD","2026/03/04 01:02:18"
"股票买入成交","IQ","爱奇艺","-596.00","731.98","USD","2026/03/04 01:02:06"
"股票卖出费用","ADBE","Adobe","-2.02","1,327.98","USD","2026/03/03 22:36:34"
"股票卖出成交","ADBE","Adobe","+1,330.00","1,330.00","USD","2026/03/03 22:33:56"
"基金赎回","880006","易方达(香港)美元货币市场基金","+1,593.88","-0.00","USD","2026/03/03 06:24:42"
"股票卖出费用","IQ","爱奇艺","-2.31","-1,593.88","USD","2026/03/02 15:40:03"
"股票卖出成交","IQ","爱奇艺","+160.00","-1,591.57","USD","2026/03/02 15:39:52"
"股票买入费用","NVDA","英伟达","-2.01","-1,751.57","USD","2026/03/02 13:58:56"
"股票买入成交","NVDA","英伟达","-872.50","-1,749.56","USD","2026/03/02 13:58:46"
"股票买入费用","NVDA","英伟达","-2.01","-877.06","USD","2026/03/02 13:52:49"
"股票买入成交","NVDA","英伟达","-875.05","-875.05","USD","2026/03/02 13:52:40"
"基金赎回","880006","易方达(香港)美元货币市场基金","+318.59","-0.00","USD","2026/02/28 06:17:40"
"股票买入费用","IQ","爱奇艺","-2.59","-318.59","USD","2026/02/28 00:45:45"
"股票买入成交","IQ","爱奇艺","-316.00","-316.00","USD","2026/02/28 00:45:34"
"基金赎回","880006","易方达(香港)美元货币市场基金","+1,359.90","-0.00","USD","2026/02/27 06:18:16"
"股票买入费用","IQ","爱奇艺","-3.87","-1,359.90","USD","2026/02/27 00:45:29"
"股票买入成交","IQ","爱奇艺","-495.00","-1,356.03","USD","2026/02/27 00:45:19"
"股票买入费用","NVDA","英伟达","-2.02","-861.03","USD","2026/02/26 23:34:34"
"股票买入成交","NVDA","英伟达","-1,848.00","-859.01","USD","2026/02/26 23:34:09"
"股票买入费用","NVDA","英伟达","-2.02","988.99","USD","2026/02/26 23:17:07"
"股票买入成交","NVDA","英伟达","-1,866.00","991.01","USD","2026/02/26 23:16:22"
"股票卖出费用","TDOC","Teladoc Health","-2.15","2,857.01","USD","2026/02/26 22:35:40"
"股票卖出费用","TDOC","Teladoc Health","-2.15","2,859.16","USD","2026/02/26 22:34:42"
"股票卖出成交","TDOC","Teladoc Health","+257.50","2,861.31","USD","2026/02/26 22:34:33"
"股票卖出成交","TDOC","Teladoc Health","+251.00","2,603.81","USD","2026/02/26 22:33:34"
"股票卖出费用","ADBE","Adobe","-2.05","2,352.81","USD","2026/02/26 22:19:53"
"股票卖出成交","ADBE","Adobe","+1,294.00","2,354.86","USD","2026/02/26 22:19:41"
"股票卖出成交","ADBE","Adobe","+1,294.00","1,060.86","USD","2026/02/26 22:19:41"
"股票买入费用","TDOC","Teladoc Health","-2.14","-233.14","USD","2026/02/26 14:12:25"
"股票买入成交","TDOC","Teladoc Health","-231.00","-231.00","USD","2026/02/26 14:12:14"
"基金赎回","880006","易方达(香港)美元货币市场基金","+2,466.52","-0.00","USD","2026/02/24 06:16:12"
"股票买入费用","ADBE","Adobe","-2.01","-2,466.52","USD","2026/02/24 00:55:33"
"股票买入成交","ADBE","Adobe","-1,229.00","-2,464.51","USD","2026/02/24 00:55:24"
"股票买入费用","ADBE","Adobe","-2.01","-1,235.51","USD","2026/02/23 23:07:55"
"股票买入成交","ADBE","Adobe","-1,233.50","-1,233.50","USD","2026/02/23 23:07:43"
"基金赎回","880006","易方达(香港)美元货币市场基金","+1,775.87","-0.00","USD","2026/02/21 06:16:45"
"股票买入费用","TDOC","Teladoc Health","-2.29","-1,775.87","USD","2026/02/20 23:58:28"
"股票买入成交","TDOC","Teladoc Health","-478.00","-1,773.58","USD","2026/02/20 23:58:16"
"股票买入费用","ADBE","Adobe","-2.01","-1,295.58","USD","2026/02/20 23:27:44"
