"代码","名称","方向","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪"
"AMD","美国超微公司","卖空","6","133.20","799.20","2024/08/05 10:01:32 (美东)","美股","USD",""
"AMD","美国超微公司","卖空","8","133.20","1,065.60","2024/08/05 10:01:31 (美东)","美股","USD",""
"NVDA","英伟达","卖出","25","101.00","2,525.00","2024/08/05 10:01:01 (美东)","美股","USD",""
"NVDA","英伟达","卖出","30","99.50","2,985.00","2024/08/05 09:58:32 (美东)","美股","USD",""
"NVDA","英伟达","卖出","20","99.30","1,986.00","2024/08/05 09:48:36 (美东)","美股","USD",""
"NVDA","英伟达","卖出","50","98.30","4,915.00","2024/08/05 09:46:33 (美东)","美股","USD",""
"NVDA","英伟达","卖出","50","97.50","4,875.00","2024/08/05 09:39:55 (美东)","美股","USD",""
"NVDA","英伟达","卖出","100","96.80","9,680.00","2024/08/05 09:39:03 (美东)","美股","USD",""
"NVDA","英伟达","卖出","30","96.40","2,892.00","2024/08/05 09:38:32 (美东)","美股","USD",""
"NVDA","英伟达","卖出","120","96.40","11,568.00","2024/08/05 09:38:32 (美东)","美股","USD",""
"NVDA","英伟达","卖出","15","95.80","1,437.00","2024/08/05 09:37:09 (美东)","美股","USD",""
"NVDA","英伟达","卖出","100","95.80","9,580.00","2024/08/05 09:37:09 (美东)","美股","USD",""
"NVDA","英伟达","买入","15","93.70","1,405.50","2024/08/05 08:04:04 (美东)","美股","USD",""
"AMZN","亚马逊","卖出","15","156.67","2,350.05","2024/08/05 07:57:15 (美东)","美股","USD",""
"AMZN","亚马逊","买入","15","158.02","2,370.30","2024/08/05 07:41:07 (美东)","美股","USD",""
"NVDA","英伟达","买入","64","94.10","6,022.40","2024/08/05 07:39:37 (美东)","美股","USD",""
"NVDA","英伟达","买入","36","94.10","3,387.60","2024/08/05 07:39:37 (美东)","美股","USD",""
"AMZN","亚马逊","卖出","54","161.30","8,710.20","2024/08/05 07:00:02 (美东)","美股","USD",""
"AMZN","亚马逊","卖出","20","161.30","3,226.00","2024/08/05 07:00:02 (美东)","美股","USD",""
"AMZN","亚马逊","卖出","3","161.30","483.90","2024/08/05 07:00:02 (美东)","美股","USD",""
"AMZN","亚马逊","卖出","3","161.30","483.90","2024/08/05 07:00:02 (美东)","美股","USD",""
"AMZN","亚马逊","买入","80","159.58","12,766.40","2024/08/05 06:26:28 (美东)","美股","USD",""
"PYPL","PayPal","卖出","80","58.90","4,712.00","2024/08/05 06:10:37 (美东)","美股","USD",""
"PYPL","PayPal","卖出","50","58.90","2,945.00","2024/08/05 06:10:37 (美东)","美股","USD",""
"PYPL","PayPal","卖出","50","58.90","2,945.00","2024/08/05 06:10:37 (美东)","美股","USD",""
"PYPL","PayPal","买入","50","58.50","2,925.00","2024/08/05 05:50:49 (美东)","美股","USD",""
"PYPL","PayPal","买入","130","58.50","7,605.00","2024/08/05 05:50:49 (美东)","美股","USD",""
"GOOG","谷歌-C","卖出","80","159.86","12,788.80","2024/08/05 05:39:00 (美东)","美股","USD",""
"GOOG","谷歌-C","买入","31","159.80","4,953.80","2024/08/05 05:10:20 (美东)","美股","USD",""
"GOOG","谷歌-C","买入","49","159.80","7,830.20","2024/08/05 05:10:20 (美东)","美股","USD",""
"NVDA","英伟达","卖出","50","101.40","5,070.00","2024/08/05 04:09:26 (美东)","美股","USD",""
"NVDA","英伟达","卖出","55","100.50","5,527.50","2024/08/05 04:08:23 (美东)","美股","USD",""
"NVDA","英伟达","买入","124","94.80","11,755.20","2024/08/05 01:40:53 (美东)","美股","USD",""
"01519","极兔速递-W","卖出","10,000","5.91","59,100.00","2024/08/05 13:40:22 (香港)","港股","HKD","8498"
"NVDA","英伟达","买入","21","95.12","1,997.52","2024/08/05 01:34:58 (美东)","美股","USD",""
"01519","极兔速递-W","买入","2,000","5.98","11,960.00","2024/08/05 13:20:02 (香港)","港股","HKD","3436"
"NVDA","英伟达","买入","60","95.60","5,736.00","2024/08/05 01:03:59 (美东)","美股","USD",""
"NVDA","英伟达","买入","50","95.90","4,795.00","2024/08/05 01:02:41 (美东)","美股","USD",""
"AVGO","博通","买入","10","130.03","1,300.30","2024/08/05 00:55:11 (美东)","美股","USD",""
"NVDA","英伟达","买入","100","96.01","9,601.00","2024/08/05 00:54:54 (美东)","美股","USD",""
"NVDA","英伟达","买入","25","96.55","2,413.75","2024/08/05 00:46:02 (美东)","美股","USD",""
"NVDA","英伟达","买入","21","96.68","2,030.28","2024/08/05 00:44:49 (美东)","美股","USD",""
"NVDA","英伟达","买入","4","96.68","386.72","2024/08/05 00:44:49 (美东)","美股","USD",""
"NVDA","英伟达","买入","70","97.01","6,790.70","2024/08/05 00:17:34 (美东)","美股","USD",""
"NVDA","英伟达","买入","15","97.45","1,461.75","2024/08/05 00:12:53 (美东)","美股","USD",""
"NVDA","英伟达","买入","15","97.60","1,464.00","2024/08/04 23:55:32 (美东)","美股","USD",""
"NVDA","英伟达","买入","20","98.01","1,960.20","2024/08/04 23:43:20 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","98.28","982.80","2024/08/04 23:42:03 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","98.50","985.00","2024/08/04 23:40:18 (美东)","美股","USD",""
"NVDA","英伟达","买入","10","98.80","988.00","2024/08/04 23:37:58 (美东)","美股","USD",""
