date,code,name,qty,price,pnl,ccy
2024-08-07,ASML,阿斯麦,5.0,865.0,115.0,USD
2024-08-07,ASML,阿斯麦,5.0,870.0,140.0,USD
2024-08-07,AMD,美国超微公司,30.0,135.5,-39.0,USD
2024-08-07,ASML,阿斯麦,5.0,877.0,175.0,USD
2024-08-08,NVDA,英伟达,225.0,104.4,87.75,USD
2024-08-08,NVDA,英伟达,150.0,104.7,103.5,USD
2024-08-08,NVDA,英伟达,150.0,104.9,186.04,USD
2024-08-08,NVDA,英伟达,25.0,105.3,46.21,USD
2024-08-09,NVDA,英伟达,20.0,106.4,70.0,USD
2024-08-09,AMD,美国超微公司,10.0,138.1,13.0,USD
2024-08-12,NVDA,英伟达,10.0,108.7,46.5,USD
2024-08-12,NVDA,英伟达,10.0,109.0,43.5,USD
2024-08-12,SQ,Block,100.0,61.1,60.0,USD
2024-08-12,NVDA,英伟达,10.0,109.4,56.0,USD
2024-08-12,NVDA,英伟达,10.0,110.0,61.0,USD
2024-08-12,NVDA,英伟达,5.0,110.8,32.5,USD
2024-08-12,AMD,美国超微公司,10.0,137.6,8.0,USD
2024-08-12,SBUX,星巴克,100.0,78.1,0.0,USD
2024-08-12,MU,美光科技,100.0,95.6,0.0,USD
2024-08-12,MU,美光科技,50.0,95.9,0.0,USD
2024-08-12,MU,美光科技,50.0,96.1,0.0,USD
2024-08-12,MU,美光科技,100.0,96.25,0.0,USD
2024-08-12,MU,美光科技,100.0,96.4,0.0,USD
2024-08-13,NVDA,英伟达,5.0,111.18,34.4,USD
2024-08-13,NVDA,英伟达,10.0,111.2,0.0,USD
2024-08-13,SBUX,星巴克,50.0,85.3,395.0,USD
2024-08-13,SBUX,星巴克,50.0,86.3,480.0,USD
2024-08-13,SBUX,星巴克,100.0,86.8,0.0,USD
2024-08-13,SBUX,星巴克,100.0,87.4,0.0,USD
2024-08-13,SBUX,星巴克,100.0,88.2,0.0,USD
2024-08-13,NVDA,英伟达,10.0,112.7,0.0,USD
2024-08-13,NVDA,英伟达,20.0,113.0,0.0,USD
2024-08-13,SBUX,星巴克,100.0,88.8,0.0,USD
2024-08-13,SBUX,星巴克,5.0,89.6,0.0,USD
2024-08-13,SBUX,星巴克,1.0,89.6,0.0,USD
2024-08-13,SBUX,星巴克,22.0,89.6,0.0,USD
2024-08-13,SBUX,星巴克,22.0,89.6,0.0,USD
2024-08-13,SBUX,星巴克,120.0,89.9,0.0,USD
2024-08-13,SBUX,星巴克,35.0,90.4,0.0,USD
2024-12-24,SBUX,星巴克,130.0,88.66,-1424.03,USD
2025-03-26,SBUX,星巴克,50.0,97.8,-231.59,USD
2025-03-26,SBUX,星巴克,50.0,98.25,36.59,USD
2025-03-27,SBUX,星巴克,1.0,99.2,1.4,USD
2025-03-27,SBUX,星巴克,49.0,99.2,37.29,USD
