no,name,market,ccy,buy_price,qty,fee,avg_price,investment,current_price,gain_loss,pl_pct,exit_price,open_date,close_date,holding_days
16,,NASDAQ,USD,350,2,17.76,358.88,717.76,1091.84,202.24,0.281765,460,2020-09-08,2020-09-17,9
17,,NYSE,USD,179.75,10,17.76,181.526,1815.26,359.57,354.74,0.195421,217,2020-04-24,2020-08-31,129
18,,NASDAQ,USD,49.5,15,17.76,50.684,760.26,51.51,-17.76,-0.02336,49.5,2020-07-24,2020-09-29,67
19,,NASDAQ,USD,123,5,17.76,126.552,632.76,71.18,-87.76,-0.138694,109,2020-08-07,2020-09-29,53
20,,NYSE,USD,258,5,17.76,261.552,1307.76,115.09,232.24,0.177586,308,2020-08-18,2020-10-20,63
21,,NYSE,USD,40.5,15,17.76,41.684,625.26,64.8,82.74,0.132329,47.2,2020-09-17,2020-11-04,48
22,,NASDAQ,USD,123,5,17.76,126.552,632.76,71.18,42.24,0.066755,135,2020-08-07,2020-11-06,91
23,,NYSE,USD,23,40,17.76,23.444,937.76,27.13,62.24,0.066371,25,2020-08-27,2020-11-06,71
24,,NASDAQ,USD,263,3,17.76,268.92,806.76,223.59,48.24,0.059795,285,2020-10-09,2020-11-06,28
25,,NASDAQ,USD,24.332,50,26.64,24.8648,1243.24,37.59,156.76,0.12609,28,2020-09-18,2020-11-10,53
26,,NYSE,USD,13.5,55,8.88,13.661455,751.38,6,348.62,0.463973,20,2020-11-02,2020-11-17,15
27,,NYSE,USD,27.5,30,17.76,28.092,842.76,23.87,28.74,0.034102,29.05,2020-10-14,2020-11-19,36
28,,NYSE,USD,200,5,17.76,203.552,1017.76,335.3,97.24,0.095543,223,2020-10-26,2020-11-19,24
29,,HK,HKD,4.53,2000,21.76,4.614864,9229.728,4.72,16.701538,0.014114,4.68,2020-08-07,2020-11-20,105
30,,NASDAQ,USD,440,2,17.76,448.88,897.76,1091.84,152.24,0.169578,525,2020-11-17,2020-11-25,8
31,,NYSE,USD,38,15,17.76,39.184,587.76,53.28,43.74,0.074418,42.1,2020-11-11,2020-12-10,29
32,,NASDAQ,USD,127,6,17.76,129.96,779.76,128.04,59.64,0.076485,139.9,2020-11-05,2020-12-18,43
33,,NASDAQ,USD,625,1,17.76,642.76,642.76,1091.84,62.24,0.096832,705,2020-12-04,2021-01-05,32
34,,NASDAQ,USD,88,8,17.76,90.22,721.76,93.82,62.24,0.086234,98,2020-11-16,2021-01-06,51
35,,NASDAQ,USD,49.5,10,17.76,51.276,512.76,51.51,12.24,0.023871,52.5,2020-07-24,2021-01-07,167
36,,NYSE,USD,180,4,17.76,184.44,737.76,69.82,182.24,0.247018,230,2020-11-09,2021-01-12,64
