date,code,name,type,qty,price,pnl,ccy
2025-04-09,XYZ,Block,平多,2.0,47.56,-4.48,USD
2025-04-09,XYZ,Block,平多,27.0,47.55,-60.75,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,325.0,85.95,22.75,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,5.0,86.08,1.0,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,3.0,86.08,0.6,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,5.0,86.08,1.0,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,4.0,86.08,0.8,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,133.0,86.08,56.7,USD
2025-04-09,TLT,20+年以上美国国债ETF-iShares,平多,25.0,86.6,45.0,USD
2025-04-09,PDD,拼多多,平多,25.0,97.6,207.5,USD
2025-04-09,PDD,拼多多,平多,25.0,98.0,237.5,USD
2025-04-10,DIS,迪士尼,平空,28.0,89.11,24.36,USD
2025-04-10,DIS,迪士尼,平空,22.0,89.11,19.14,USD
2025-04-10,00981,中芯国际,平空,1000.0,44.2,-1075.0,HKD
2025-04-10,PDD,拼多多,平多,75.0,90.01,-66.75,USD
2025-04-10,TLT,20+年以上美国国债ETF-iShares,平多,25.0,87.0,55.0,USD
2025-04-10,SOXL,三倍做多半导体ETF-Direxion,平多,1000.0,9.85,355.0,USD
2025-04-10,SOXL,三倍做多半导体ETF-Direxion,平多,695.0,9.8,374.0,USD
2025-04-10,00981,中芯国际,平空,1000.0,44.05,200.0,HKD
2025-04-10,00981,中芯国际,平空,1000.0,43.7,2050.0,HKD
2025-04-11,00981,中芯国际,平空,2500.0,46.9,-1650.0,HKD
2025-04-15,SOXL,三倍做多半导体ETF-Direxion,平多,100.0,10.96,176.0,USD
2025-04-17,GLD,黄金ETF-SPDR,平空,85.0,306.0,17.0,USD
2025-04-21,NVDA,英伟达,平多,10.0,99.1,-9.8,USD
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,平多,100.0,8.77,-22.2,USD
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,平多,150.0,8.77,-30.5,USD
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,平多,50.0,8.77,13.5,USD
2025-04-22,NVDA,英伟达,平多,25.0,98.18,12.0,USD
2025-04-22,SOXL,三倍做多半导体ETF-Direxion,平多,100.0,9.24,85.0,USD
2025-04-22,NVDA,英伟达,平多,15.0,99.2,38.0,USD
2025-04-22,SOXL,三倍做多半导体ETF-Direxion,平多,100.0,9.3,107.0,USD
2025-04-23,SQQQ,三倍做空纳指ETF-ProShares,平多,50.0,35.8,93.5,USD
2025-04-25,NVDA,英伟达,平多,10.0,108.2,120.0,USD
2025-04-25,SOXL,三倍做多半导体ETF-Direxion,平多,100.0,12.2,402.0,USD
2025-04-25,NVDA,英伟达,平空,100.0,111.2,-194.9,USD
2025-04-28,SQQQ,三倍做空纳指ETF-ProShares,平多,370.0,32.8,-236.25,USD
2025-04-28,SQQQ,三倍做空纳指ETF-ProShares,平多,300.0,32.9,208.9,USD
2025-04-28,00981,中芯国际,平空,1000.0,45.4,2150.0,HKD
2025-05-04,SQQQ,三倍做空纳指ETF-ProShares,平多,280.0,29.12,-546.8,USD
2025-05-04,SQQQ,三倍做空纳指ETF-ProShares,平多,100.0,29.35,13.5,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,平多,60.0,29.58,31.0,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,平多,6.0,29.58,3.36,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,平多,134.0,29.58,82.24,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,平多,24.0,29.62,16.68,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,平多,176.0,29.62,132.32,USD
2025-05-06,SQQQ,三倍做空纳指ETF-ProShares,平多,100.0,29.68,90.6,USD
2025-05-06,SQQQ,三倍做空纳指ETF-ProShares,平多,100.0,29.75,103.8,USD
2025-05-12,SOXS,三倍做空半导体ETF-Direxion,平多,300.0,12.8,91.0,USD
2025-05-13,SQQQ,三倍做空纳指ETF-ProShares,平多,100.0,24.2,-426.0,USD
2025-05-14,SQQQ,三倍做空纳指ETF-ProShares,平多,50.0,23.82,-252.0,USD
2025-07-21,SQQQ,三倍做空纳指ETF-ProShares,平多,15.0,18.52,-155.1,USD
2025-07-21,SQQQ,三倍做空纳指ETF-ProShares,平多,12.0,18.3425,-126.21,USD
2025-07-25,SQQQ,三倍做空纳指ETF-ProShares,平多,11.0,18.1937,-117.33,USD
2025-07-28,SQQQ,三倍做空纳指ETF-ProShares,平多,11.0,18.0132,-119.31,USD
2025-08-08,SQQQ,三倍做空纳指ETF-ProShares,平多,40.0,17.5003,-475.45,USD
2025-08-15,SQQQ,三倍做空纳指ETF-ProShares,平多,13.0,17.3001,-157.3,USD
2025-09-08,SQQQ,三倍做空纳指ETF-ProShares,平多,14.0,17.1602,-171.36,USD
2025-09-12,SQQQ,三倍做空纳指ETF-ProShares,平多,45.0,16.4737,-575.08,USD
2025-09-15,SQQQ,三倍做空纳指ETF-ProShares,平多,12.0,16.2922,-150.09,USD
2025-09-15,SQQQ,三倍做空纳指ETF-ProShares,平多,3.0,16.255,-37.64,USD
2025-09-19,SQQQ,三倍做空纳指ETF-ProShares,平多,41.0,15.625,-537.12,USD
2025-10-03,SQQQ,三倍做空纳指ETF-ProShares,平多,16.0,15.0401,-217.28,USD
